symbol,open,high,low,close,epoch,timestamp
CRASH1000,5491.34,5491.521,5486.747,5488.079,1775181300,2026-04-03T03:55:00
CRASH1000,5488.083,5488.797,5482.278,5483.2,1775181600,2026-04-03T04:00:00
CRASH1000,5483.211,5484.899,5483.211,5484.899,1775181900,2026-04-03T04:05:00
CRASH1000,5484.912,5486.651,5484.912,5486.651,1775182200,2026-04-03T04:10:00
CRASH1000,5486.66,5487.796,5481.125,5481.735,1775182500,2026-04-03T04:15:00
CRASH1000,5481.738,5483.427,5481.738,5483.427,1775182800,2026-04-03T04:20:00
CRASH1000,5483.433,5485.123,5483.433,5485.123,1775183100,2026-04-03T04:25:00
CRASH1000,5485.131,5486.766,5485.131,5486.766,1775183400,2026-04-03T04:30:00
CRASH1000,5486.77,5488.418,5486.77,5488.418,1775183700,2026-04-03T04:35:00
CRASH1000,5488.419,5490.04,5488.419,5490.04,1775184000,2026-04-03T04:40:00
CRASH1000,5490.04,5491.646,5490.04,5491.646,1775184300,2026-04-03T04:45:00
CRASH1000,5491.657,5493.207,5491.657,5493.207,1775184600,2026-04-03T04:50:00
CRASH1000,5493.212,5494.771,5493.212,5494.771,1775184900,2026-04-03T04:55:00
CRASH1000,5494.773,5496.361,5494.773,5496.361,1775185200,2026-04-03T05:00:00
CRASH1000,5496.363,5497.446,5494.081,5494.665,1775185500,2026-04-03T05:05:00
CRASH1000,5494.678,5496.268,5494.678,5496.268,1775185800,2026-04-03T05:10:00
CRASH1000,5496.282,5497.952,5496.282,5497.952,1775186100,2026-04-03T05:15:00
CRASH1000,5497.96,5499.562,5497.96,5499.562,1775186400,2026-04-03T05:20:00
CRASH1000,5499.563,5499.787,5491.458,5492.788,1775186700,2026-04-03T05:25:00
CRASH1000,5492.788,5494.388,5478.771,5478.895,1775187000,2026-04-03T05:30:00
CRASH1000,5478.901,5480.486,5478.901,5480.486,1775187300,2026-04-03T05:35:00
CRASH1000,5480.49,5481.025,5466.922,5467.652,1775187600,2026-04-03T05:40:00
CRASH1000,5467.661,5469.197,5467.661,5469.197,1775187900,2026-04-03T05:45:00
CRASH1000,5469.197,5470.877,5469.197,5470.877,1775188200,2026-04-03T05:50:00
CRASH1000,5470.88,5472.436,5470.88,5472.436,1775188500,2026-04-03T05:55:00
CRASH1000,5472.446,5474.06,5472.446,5474.06,1775188800,2026-04-03T06:00:00
CRASH1000,5474.067,5475.656,5474.067,5475.656,1775189100,2026-04-03T06:05:00
CRASH1000,5475.657,5477.265,5475.657,5477.265,1775189400,2026-04-03T06:10:00
CRASH1000,5477.275,5478.79,5477.275,5478.79,1775189700,2026-04-03T06:15:00
CRASH1000,5478.798,5479.867,5473.388,5473.934,1775190000,2026-04-03T06:20:00
CRASH1000,5473.947,5475.636,5473.947,5475.636,1775190300,2026-04-03T06:25:00
CRASH1000,5475.64,5477.226,5475.64,5477.226,1775190600,2026-04-03T06:30:00
CRASH1000,5477.234,5478.184,5476.775,5478.184,1775190900,2026-04-03T06:35:00
CRASH1000,5478.192,5479.886,5478.192,5479.886,1775191200,2026-04-03T06:40:00
CRASH1000,5479.889,5481.499,5479.889,5481.499,1775191500,2026-04-03T06:45:00
CRASH1000,5481.51,5483.189,5481.51,5483.189,1775191800,2026-04-03T06:50:00
CRASH1000,5483.191,5484.804,5483.191,5484.804,1775192100,2026-04-03T06:55:00
CRASH1000,5484.811,5485.131,5469.396,5470.453,1775192400,2026-04-03T07:00:00
CRASH1000,5470.454,5471.811,5464.729,5464.914,1775192700,2026-04-03T07:05:00
CRASH1000,5464.919,5466.461,5464.919,5466.461,1775193000,2026-04-03T07:10:00
CRASH1000,5466.473,5467.986,5466.371,5467.986,1775193300,2026-04-03T07:15:00
CRASH1000,5468.0,5468.041,5455.596,5457.122,1775193600,2026-04-03T07:20:00
CRASH1000,5457.135,5458.723,5457.135,5458.723,1775193900,2026-04-03T07:25:00
CRASH1000,5458.726,5460.365,5458.726,5460.365,1775194200,2026-04-03T07:30:00
CRASH1000,5460.373,5461.176,5455.946,5456.797,1775194500,2026-04-03T07:35:00
CRASH1000,5456.797,5458.412,5456.797,5458.412,1775194800,2026-04-03T07:40:00
CRASH1000,5458.414,5460.208,5458.414,5460.208,1775195100,2026-04-03T07:45:00
CRASH1000,5460.211,5460.987,5458.434,5459.234,1775195400,2026-04-03T07:50:00
CRASH1000,5459.241,5460.574,5454.004,5454.332,1775195700,2026-04-03T07:55:00
CRASH1000,5454.339,5456.001,5454.339,5456.001,1775196000,2026-04-03T08:00:00
CRASH1000,5456.003,5457.669,5456.003,5457.669,1775196300,2026-04-03T08:05:00
CRASH1000,5457.669,5459.244,5457.669,5459.244,1775196600,2026-04-03T08:10:00
CRASH1000,5459.245,5460.932,5459.245,5460.932,1775196900,2026-04-03T08:15:00
CRASH1000,5460.933,5462.488,5460.933,5462.488,1775197200,2026-04-03T08:20:00
CRASH1000,5462.492,5463.749,5458.977,5459.432,1775197500,2026-04-03T08:25:00
CRASH1000,5459.443,5461.18,5459.443,5461.18,1775197800,2026-04-03T08:30:00
CRASH1000,5461.185,5462.846,5461.185,5462.846,1775198100,2026-04-03T08:35:00
CRASH1000,5462.857,5463.979,5462.43,5463.002,1775198400,2026-04-03T08:40:00
CRASH1000,5463.013,5464.609,5463.013,5464.609,1775198700,2026-04-03T08:45:00
CRASH1000,5464.611,5466.308,5464.611,5466.308,1775199000,2026-04-03T08:50:00
CRASH1000,5466.312,5467.951,5466.312,5467.951,1775199300,2026-04-03T08:55:00
CRASH1000,5467.955,5469.576,5467.955,5468.938,1775199600,2026-04-03T09:00:00
CRASH1000,5468.939,5470.511,5468.939,5470.511,1775199900,2026-04-03T09:05:00
CRASH1000,5470.518,5472.129,5470.518,5472.129,1775200200,2026-04-03T09:10:00
CRASH1000,5472.137,5473.776,5472.137,5473.776,1775200500,2026-04-03T09:15:00
CRASH1000,5473.781,5475.427,5473.781,5475.427,1775200800,2026-04-03T09:20:00
CRASH1000,5475.434,5477.075,5475.434,5477.075,1775201100,2026-04-03T09:25:00
CRASH1000,5477.085,5478.704,5477.085,5478.704,1775201400,2026-04-03T09:30:00
CRASH1000,5478.707,5480.289,5478.707,5480.289,1775201700,2026-04-03T09:35:00
CRASH1000,5480.291,5481.84,5480.291,5481.84,1775202000,2026-04-03T09:40:00
CRASH1000,5481.842,5482.732,5481.842,5482.532,1775202300,2026-04-03T09:45:00
CRASH1000,5482.537,5484.174,5482.537,5484.174,1775202600,2026-04-03T09:50:00
CRASH1000,5484.176,5485.754,5484.176,5485.754,1775202900,2026-04-03T09:55:00
CRASH1000,5485.755,5486.819,5483.618,5484.19,1775203200,2026-04-03T10:00:00
CRASH1000,5484.191,5485.827,5484.191,5485.827,1775203500,2026-04-03T10:05:00
CRASH1000,5485.831,5487.513,5485.831,5487.513,1775203800,2026-04-03T10:10:00
CRASH1000,5487.517,5487.951,5482.965,5484.247,1775204100,2026-04-03T10:15:00
CRASH1000,5484.251,5485.314,5478.159,5478.744,1775204400,2026-04-03T10:20:00
CRASH1000,5478.753,5480.448,5478.753,5480.448,1775204700,2026-04-03T10:25:00
CRASH1000,5480.449,5482.08,5480.449,5482.08,1775205000,2026-04-03T10:30:00
CRASH1000,5482.088,5483.719,5482.088,5483.719,1775205300,2026-04-03T10:35:00
CRASH1000,5483.721,5485.401,5483.721,5485.401,1775205600,2026-04-03T10:40:00
CRASH1000,5485.407,5487.033,5485.407,5487.033,1775205900,2026-04-03T10:45:00
CRASH1000,5487.035,5488.639,5487.035,5488.639,1775206200,2026-04-03T10:50:00
CRASH1000,5488.642,5490.291,5488.642,5490.291,1775206500,2026-04-03T10:55:00
CRASH1000,5490.294,5491.884,5490.294,5491.884,1775206800,2026-04-03T11:00:00
CRASH1000,5491.893,5491.893,5491.893,5491.893,1775207100,2026-04-03T11:05:00
BOOM1000,14468.186,14468.186,14463.897,14463.897,1775175300,2026-04-03T02:15:00
BOOM1000,14463.884,14471.556,14460.489,14470.728,1775175600,2026-04-03T02:20:00
BOOM1000,14470.716,14470.716,14466.172,14466.172,1775175900,2026-04-03T02:25:00
BOOM1000,14466.17,14509.652,14464.876,14507.863,1775176200,2026-04-03T02:30:00
BOOM1000,14507.86,14515.393,14503.914,14514.951,1775176500,2026-04-03T02:35:00
BOOM1000,14514.913,14534.446,14511.204,14533.583,1775176800,2026-04-03T02:40:00
BOOM1000,14533.557,14533.557,14529.189,14529.189,1775177100,2026-04-03T02:45:00
BOOM1000,14529.161,14529.161,14524.66,14524.66,1775177400,2026-04-03T02:50:00
BOOM1000,14524.649,14524.649,14520.149,14520.149,1775177700,2026-04-03T02:55:00
BOOM1000,14520.137,14520.137,14515.689,14515.689,1775178000,2026-04-03T03:00:00
BOOM1000,14515.689,14515.689,14511.385,14511.385,1775178300,2026-04-03T03:05:00
BOOM1000,14511.371,14511.371,14506.674,14506.674,1775178600,2026-04-03T03:10:00
BOOM1000,14506.66,14511.495,14503.019,14511.004,1775178900,2026-04-03T03:15:00
BOOM1000,14510.988,14510.988,14507.005,14507.005,1775179200,2026-04-03T03:20:00
BOOM1000,14507.005,14507.005,14502.754,14502.754,1775179500,2026-04-03T03:25:00
BOOM1000,14502.751,14502.751,14498.309,14498.309,1775179800,2026-04-03T03:30:00
BOOM1000,14498.296,14498.296,14493.987,14493.987,1775180100,2026-04-03T03:35:00
BOOM1000,14493.96,14493.96,14489.711,14489.711,1775180400,2026-04-03T03:40:00
BOOM1000,14489.7,14489.7,14485.382,14485.382,1775180700,2026-04-03T03:45:00
BOOM1000,14485.378,14485.378,14480.923,14480.923,1775181000,2026-04-03T03:50:00
BOOM1000,14480.902,14480.902,14476.624,14476.624,1775181300,2026-04-03T03:55:00
BOOM1000,14476.608,14476.608,14472.613,14472.613,1775181600,2026-04-03T04:00:00
BOOM1000,14472.594,14472.594,14468.236,14468.236,1775181900,2026-04-03T04:05:00
BOOM1000,14468.205,14468.205,14463.639,14463.639,1775182200,2026-04-03T04:10:00
BOOM1000,14463.625,14463.625,14459.222,14459.222,1775182500,2026-04-03T04:15:00
BOOM1000,14459.222,14459.222,14454.765,14454.765,1775182800,2026-04-03T04:20:00
BOOM1000,14454.735,14454.735,14450.729,14450.729,1775183100,2026-04-03T04:25:00
BOOM1000,14450.714,14470.036,14449.875,14466.5,1775183400,2026-04-03T04:30:00
BOOM1000,14466.491,14466.491,14461.91,14461.91,1775183700,2026-04-03T04:35:00
BOOM1000,14461.897,14475.965,14460.209,14473.638,1775184000,2026-04-03T04:40:00
BOOM1000,14473.632,14473.632,14469.073,14469.073,1775184300,2026-04-03T04:45:00
BOOM1000,14469.055,14469.055,14464.498,14464.498,1775184600,2026-04-03T04:50:00
BOOM1000,14464.473,14464.473,14460.186,14460.186,1775184900,2026-04-03T04:55:00
BOOM1000,14460.157,14470.799,14457.92,14468.747,1775185200,2026-04-03T05:00:00
BOOM1000,14468.732,14468.732,14464.207,14464.207,1775185500,2026-04-03T05:05:00
BOOM1000,14464.19,14464.19,14459.783,14459.783,1775185800,2026-04-03T05:10:00
BOOM1000,14459.773,14459.773,14455.543,14455.543,1775186100,2026-04-03T05:15:00
BOOM1000,14455.521,14455.521,14451.079,14451.079,1775186400,2026-04-03T05:20:00
BOOM1000,14451.064,14451.064,14446.944,14446.944,1775186700,2026-04-03T05:25:00
BOOM1000,14446.936,14459.242,14446.879,14457.665,1775187000,2026-04-03T05:30:00
BOOM1000,14457.656,14457.656,14453.329,14453.329,1775187300,2026-04-03T05:35:00
BOOM1000,14453.317,14453.317,14448.984,14448.984,1775187600,2026-04-03T05:40:00
BOOM1000,14448.974,14448.974,14444.787,14444.787,1775187900,2026-04-03T05:45:00
BOOM1000,14444.771,14474.863,14441.378,14474.022,1775188200,2026-04-03T05:50:00
BOOM1000,14474.021,14474.021,14469.462,14469.462,1775188500,2026-04-03T05:55:00
BOOM1000,14469.451,14469.451,14465.263,14465.263,1775188800,2026-04-03T06:00:00
BOOM1000,14465.233,14465.233,14461.014,14461.014,1775189100,2026-04-03T06:05:00
BOOM1000,14460.993,14460.993,14456.576,14456.576,1775189400,2026-04-03T06:10:00
BOOM1000,14456.547,14456.547,14452.233,14452.233,1775189700,2026-04-03T06:15:00
BOOM1000,14452.224,14452.224,14448.133,14448.133,1775190000,2026-04-03T06:20:00
BOOM1000,14448.124,14455.891,14447.502,14452.175,1775190300,2026-04-03T06:25:00
BOOM1000,14452.145,14452.145,14447.733,14447.733,1775190600,2026-04-03T06:30:00
BOOM1000,14447.721,14447.721,14443.45,14443.45,1775190900,2026-04-03T06:35:00
BOOM1000,14443.41,14470.382,14440.784,14469.131,1775191200,2026-04-03T06:40:00
BOOM1000,14469.101,14469.101,14465.042,14465.042,1775191500,2026-04-03T06:45:00
BOOM1000,14465.031,14465.031,14460.533,14460.533,1775191800,2026-04-03T06:50:00
BOOM1000,14460.517,14479.115,14457.684,14477.609,1775192100,2026-04-03T06:55:00
BOOM1000,14477.595,14477.595,14473.148,14473.148,1775192400,2026-04-03T07:00:00
BOOM1000,14473.126,14473.126,14468.779,14468.779,1775192700,2026-04-03T07:05:00
BOOM1000,14468.748,14468.748,14464.737,14464.737,1775193000,2026-04-03T07:10:00
BOOM1000,14464.736,14464.736,14460.315,14460.315,1775193300,2026-04-03T07:15:00
BOOM1000,14460.314,14460.314,14455.817,14455.817,1775193600,2026-04-03T07:20:00
BOOM1000,14455.807,14455.807,14451.433,14451.433,1775193900,2026-04-03T07:25:00
BOOM1000,14451.427,14451.427,14447.239,14447.239,1775194200,2026-04-03T07:30:00
BOOM1000,14447.23,14447.23,14442.867,14442.867,1775194500,2026-04-03T07:35:00
BOOM1000,14442.851,14442.851,14438.345,14438.345,1775194800,2026-04-03T07:40:00
BOOM1000,14438.328,14438.328,14433.839,14433.839,1775195100,2026-04-03T07:45:00
BOOM1000,14433.831,14433.831,14429.798,14429.798,1775195400,2026-04-03T07:50:00
BOOM1000,14429.784,14430.248,14426.383,14429.456,1775195700,2026-04-03T07:55:00
BOOM1000,14429.455,14429.455,14424.72,14424.72,1775196000,2026-04-03T08:00:00
BOOM1000,14424.701,14426.183,14423.188,14423.581,1775196300,2026-04-03T08:05:00
BOOM1000,14423.576,14423.576,14419.136,14419.136,1775196600,2026-04-03T08:10:00
BOOM1000,14419.132,14419.132,14415.104,14415.104,1775196900,2026-04-03T08:15:00
BOOM1000,14415.093,14415.417,14411.602,14411.602,1775197200,2026-04-03T08:20:00
BOOM1000,14411.597,14411.597,14407.609,14407.609,1775197500,2026-04-03T08:25:00
BOOM1000,14407.594,14407.594,14403.241,14403.241,1775197800,2026-04-03T08:30:00
BOOM1000,14403.228,14410.402,14401.049,14408.573,1775198100,2026-04-03T08:35:00
BOOM1000,14408.553,14433.917,14406.47,14431.571,1775198400,2026-04-03T08:40:00
BOOM1000,14431.567,14431.567,14427.278,14427.278,1775198700,2026-04-03T08:45:00
BOOM1000,14427.268,14427.268,14423.131,14423.131,1775199000,2026-04-03T08:50:00
BOOM1000,14423.117,14423.117,14418.456,14418.456,1775199300,2026-04-03T08:55:00
BOOM1000,14418.455,14449.275,14417.53,14445.53,1775199600,2026-04-03T09:00:00
BOOM1000,14445.512,14451.958,14443.723,14449.686,1775199900,2026-04-03T09:05:00
BOOM1000,14449.675,14449.675,14445.474,14445.474,1775200200,2026-04-03T09:10:00
BOOM1000,14445.451,14445.451,14441.163,14441.163,1775200500,2026-04-03T09:15:00
BOOM1000,14441.151,14441.151,14436.479,14436.479,1775200800,2026-04-03T09:20:00
BOOM1000,14436.478,14436.478,14432.022,14432.022,1775201100,2026-04-03T09:25:00
BOOM1000,14432.009,14432.375,14429.677,14431.539,1775201400,2026-04-03T09:30:00
BOOM1000,14431.535,14431.535,14427.302,14427.302,1775201700,2026-04-03T09:35:00
BOOM1000,14427.297,14427.297,14422.997,14422.997,1775202000,2026-04-03T09:40:00
BOOM1000,14422.991,14435.249,14421.715,14432.131,1775202300,2026-04-03T09:45:00
BOOM1000,14432.123,14432.123,14427.903,14427.903,1775202600,2026-04-03T09:50:00
BOOM1000,14427.892,14427.892,14423.389,14423.389,1775202900,2026-04-03T09:55:00
BOOM1000,14423.383,14450.229,14422.699,14446.444,1775203200,2026-04-03T10:00:00
BOOM1000,14446.435,14465.003,14445.057,14461.85,1775203500,2026-04-03T10:05:00
BOOM1000,14461.845,14461.845,14457.631,14457.631,1775203800,2026-04-03T10:10:00
BOOM1000,14457.615,14457.615,14453.294,14453.294,1775204100,2026-04-03T10:15:00
BOOM1000,14453.277,14453.277,14449.087,14449.087,1775204400,2026-04-03T10:20:00
BOOM1000,14449.082,14470.333,14447.402,14467.782,1775204700,2026-04-03T10:25:00
BOOM1000,14467.776,14467.776,14463.642,14463.642,1775205000,2026-04-03T10:30:00
BOOM1000,14463.622,14463.622,14459.328,14459.328,1775205300,2026-04-03T10:35:00
BOOM1000,14459.319,14459.319,14455.042,14455.042,1775205600,2026-04-03T10:40:00
BOOM1000,14455.026,14455.026,14450.582,14450.582,1775205900,2026-04-03T10:45:00
BOOM1000,14450.562,14450.562,14446.362,14446.362,1775206200,2026-04-03T10:50:00
BOOM1000,14446.34,14477.927,14443.438,14476.414,1775206500,2026-04-03T10:55:00
BOOM1000,14476.391,14476.391,14472.003,14472.003,1775206800,2026-04-03T11:00:00
